X,Y,Density
949.0129513,4561.910656,46.849
790.7577143,4648.276481,45.922
988.2511768,4521.025016,45.194
817.483449,4701.924714,44.851
850.4612494,4836.491474,43.454
801.6346739,5157.917153,42.517
833.0373416,4627.596236,41.689
843.7326798,5081.281301,39.817
831.1466579,5081.866245,35.804
849.5460853,5085.729981,35.676
849.0593165,5074.023044,31.497
826.957913,5106.621363,27.888
808.3202358,5146.524889,26.663
804.7673039,5085.646824,26.612
780.4034536,5095.727956,22.816
342.9769797,4850.611192,90.077
535.6117967,4724.405803,82.038
536.5631064,4727.36457,80.265
355.8273319,4838.464368,76.258
266.6248499,4778.102521,75.68
361.8288014,5372.786495,72.927
338.9421016,4824.758913,70.044
263.1780582,4809.24563,69.971
319.4004362,4811.863553,65.629
479.9090431,4644.16438,65.248
289.0958444,5393.275066,62.354
335.6266212,5240.195,59.657
292.1169604,5016.884035,58.671
539.0887995,4709.378031,58.666
296.9367132,5475.067368,58.079
375.8158428,5324.913195,57.99
267.5280348,4937.708592,56.992
290.0201408,5443.393196,56.362
485.1078885,4645.12863,56.164
277.8739283,5088.804669,55.958
293.5569939,5471.175561,55.309
285.100456,5119.340089,55.02
310.6325629,5338.644124,54.148
403.0963224,5374.452059,52.389
410.1909932,5384.8637,51.723
276.4456395,5086.453257,51.094
296.6998935,5061.252884,50.395
333.8946141,5264.232955,50.267
322.7167026,5088.100853,49.412
334.8402285,5087.642707,41.57
234.7017758,4803.241771,86.239
-39.17845831,5096.408573,77.984
179.6208826,4814.700822,77.622
29.43028448,4822.418475,70.662
222.0895144,4799.064694,70.234
-211.7330949,4868.591266,69.323
185.50827,4839.168969,68.724
-155.1287811,4891.406801,68.688
185.0189428,4886.104618,67.896
254.1521584,5106.984345,67.809
-17.66242044,4995.042733,66.579
37.04275737,5085.102914,66.288
-12.38657198,4931.666848,65.58
186.268138,5537.540529,65.456
147.6522775,4845.07804,65.279
198.0653186,5251.323287,65.239
163.3180891,4874.849543,64.946
-24.70646838,5405.475572,64.84
4.352634444,5629.993823,64.269
207.731934,4864.991998,64.204
204.536641,4941.855787,64.088
-143.7775398,5522.843481,63.77
-46.36217448,4850.930619,63.494
236.6367797,5174.397768,63.008
-57.50191333,5208.732249,62.988
-110.0648148,4853.854688,62.24
-154.9382206,5350.496687,62.133
259.6747937,5053.858859,62.11
-144.1019424,5520.057574,62.036
-50.33992915,5137.701499,61.954
43.26593406,5449.422103,61.936
174.2548527,4976.808745,61.73
-24.01930285,5642.175793,61.367
-124.9480442,5522.23112,61.342
207.5853936,4801.033216,61.073
-112.2747874,4852.757499,61.05
-2.931782093,5414.395005,60.718
142.8281881,5046.642534,60.623
97.29134174,5000.014168,60.391
-65.71057296,5490.576038,60.248
-130.2528291,5277.278838,60.085
202.6461753,5246.834316,60.023
119.9479063,4874.49232,59.485
265.2178638,5439.748303,59.431
208.9265112,5124.493825,59.276
-53.70612481,5392.850709,59.119
202.8949193,5395.939173,59.02
179.734109,5137.595615,58.596
-21.75301818,5335.438148,58.326
234.1297256,5221.868166,58.275
185.7198142,5082.369074,58.175
-134.7328822,5510.570018,57.683
216.949128,4798.187311,56.824
12.59164266,5204.430253,56.692
-73.79368566,5459.59223,56.685
-225.9473852,4825.335253,56.409
42.5788788,5088.399906,56.385
-8.195140612,5455.968697,56.305
-0.509794062,5235.50504,56.21
-160.7575809,5345.632916,56.093
149.4538176,5045.544057,55.569
-188.2082594,5092.95415,55.347
-72.97004195,5502.063335,55.307
-111.2317198,4901.649709,55.169
81.56306663,5629.886388,54.846
160.4130421,5433.635993,54.726
67.07199555,5606.365931,54.359
182.3233209,5193.710831,54.346
40.32833948,5085.763032,54.311
175.9699212,4983.771555,54.061
69.41087947,5123.659866,53.904
13.46178216,5423.731443,53.74
242.528539,4996.989301,53.458
177.5899822,5075.490478,53.431
171.5111572,5032.374538,53.396
49.15345716,5617.528811,53.284
12.4560425,5436.790326,52.983
12.01329563,5433.516471,52.661
132.9368715,5360.940106,52.645
-162.9017094,5195.428028,52.602
260.2950451,5050.274751,52.259
-4.300890803,5427.931586,51.86
-139.4047519,5480.981005,51.655
32.25561157,5395.905021,51.028
-33.5349665,5452.759044,50.358
25.33959155,5476.836361,50.285
24.24891511,5427.341948,49.997
104.5761829,5604.237081,49.978
-86.54609576,5027.742683,49.739
-72.85616618,5506.754221,49.518
118.9219566,5110.418759,48.884
243.4415661,5006.121085,47.862
14.39190532,5546.004767,47.481
29.80007712,5442.441564,47.261
-68.02121363,5037.393483,46.261
244.9103494,5008.387384,45.372
26.06811822,5478.653092,28.69
-196.2958678,5431.318485,70.416
-356.9865856,5295.920861,68
-428.4659619,5362.57031,65.57
-382.8728371,5344.714966,64.336
-497.350711,5447.757396,63.357
-229.8757093,5173.481283,61.964
-281.2981528,5159.057474,61.939
-476.3369433,5398.417591,61.543
-207.0447351,5336.050847,61.536
-219.6743868,5299.264848,61.049
-250.8061203,5028.665084,60.847
-225.5364696,5153.045733,60.713
-283.7303001,5162.46377,59.777
-235.3417114,5489.55882,59.53
-256.8292998,5012.39336,59.284
-258.3210341,5005.721274,58.905
-261.7777162,4838.353235,58.176
-306.3791828,5382.57086,57.84
-294.6696564,5384.071369,57.565
-348.4241791,4867.829704,56.204
-181.5607998,5486.574122,51.93
318.6627659,5912.483448,57.454
298.2781345,5837.96851,53.84
335.9575509,5773.953881,52.707
323.2698151,5807.401355,52.499
293.0180373,5667.240803,51.149
233.8037143,5857.747439,59.665
193.9338416,5803.522873,59.193
177.2458802,5780.090461,55.768
274.6226295,5778.562518,55.408
234.8486779,5779.379366,53.789
181.7818808,5775.546088,53.033
186.2688115,5747.09942,52.136
281.783483,5714.627946,51.745
189.1768561,5761.154322,50.979
204.1240205,5747.587613,50.747
220.0302478,5766.053885,50.69
165.0478378,5769.813692,50.184
220.2163296,5812.376256,49.325
234.1217355,5775.672503,48.953
225.8270751,5791.041562,48.351
183.8322499,5762.293136,44.602
187.988059,5762.667707,38.317
195.7609263,5755.751415,26.949
346.5116982,5212.646449,86.696
317.6771099,5156.327882,66.635
274.3976752,5123.886198,59.53
464.5507268,5247.233702,58.771
393.3877087,5266.269934,58.501
284.8301084,5119.560948,58.385
343.1874118,5186.446261,57.995
318.9577713,5154.7547,57.955
446.9025997,5212.924643,55.805
383.0311683,5202.210774,55.124
478.9456512,5261.678917,55.114
465.2663583,5248.251894,54.615
393.3477456,5269.027709,54.396
356.9789999,5111.158158,52.754
470.8302044,5250.010938,52.511
528.206174,5252.695742,51.661
279.4626724,5121.109239,50.515
381.3611792,5200.898653,48.316
467.5851136,5254.006683,44.03
